model_id,K,N,gene,balance,rein_L,match,degenerate,gt_tt,rein_tt
031_9_0,10,1,v_SFF,pure_activator,6,False,False,"[0, 0, 0, 1]","[0, 1, 1, 1]"
031_9_0,10,1,v_SWI5,pure_activator,12,False,False,"[0, 1]","[1, 1]"
031_9_0,10,1,v_YHP1,pure_activator,0,False,False,"[0, 1, 1, 1]","[0, 0, 0, 1]"
031_9_0,10,1,v_YOX1,pure_activator,7,False,False,"[0, 0, 0, 1]","[0, 1, 1, 1]"
031_9_0,10,3,v_ACE2,pure_activator,15,False,False,"[0, 1]","[1, 1]"
031_9_0,10,3,v_CLN3,balanced,3,False,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
031_9_0,10,3,v_HCM1,pure_activator,4,True,False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
031_9_0,10,3,v_MBF,pure_activator,14,False,False,"[0, 1]","[1, 1]"
031_9_0,10,3,v_SBF,balanced,3,False,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
031_9_0,10,3,v_SFF,pure_activator,12,False,False,"[0, 0, 0, 1]","[1, 1, 1, 1]"
031_9_0,10,3,v_SWI5,pure_activator,9,False,True,"[0, 1]","[1, 1]"
031_9_0,10,3,v_YHP1,pure_activator,13,False,True,"[0, 1, 1, 1]","[1, 1, 1, 1]"
031_9_0,10,3,v_YOX1,pure_activator,3,False,False,"[0, 0, 0, 1]","[0, 1, 1, 1]"
031_9_0,10,5,v_ACE2,pure_activator,1,True,False,"[0, 1]","[0, 1]"
031_9_0,10,5,v_CLN3,balanced,10,False,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
031_9_0,10,5,v_HCM1,pure_activator,12,False,False,"[0, 0, 0, 1]","[1, 1, 1, 1]"
031_9_0,10,5,v_MBF,pure_activator,16,False,True,"[0, 1]","[1, 1]"
031_9_0,10,5,v_SBF,balanced,10,False,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
031_9_0,10,5,v_SFF,pure_activator,12,False,False,"[0, 0, 0, 1]","[1, 1, 1, 1]"
031_9_0,10,5,v_SWI5,pure_activator,3,True,False,"[0, 1]","[0, 1]"
031_9_0,10,5,v_YHP1,pure_activator,15,False,False,"[0, 1, 1, 1]","[1, 1, 1, 1]"
031_9_0,10,5,v_YOX1,pure_activator,2,True,False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
031_9_0,10,10,v_ACE2,pure_activator,13,False,True,"[0, 1]","[1, 1]"
031_9_0,10,10,v_CLN3,balanced,6,False,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]"
031_9_0,10,10,v_HCM1,pure_activator,4,True,False,"[0, 0, 0, 1]","[0, 0, 0, 1]"
031_9_0,10,10,v_MBF,pure_activator,14,False,False,"[0, 1]","[1, 1]"
031_9_0,10,10,v_SBF,balanced,2,False,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
031_9_0,10,10,v_SFF,pure_activator,6,False,False,"[0, 0, 0, 1]","[0, 1, 1, 1]"
031_9_0,10,10,v_SWI5,pure_activator,3,True,False,"[0, 1]","[0, 1]"
031_9_0,10,10,v_YHP1,pure_activator,7,True,False,"[0, 1, 1, 1]","[0, 1, 1, 1]"
031_9_0,10,10,v_YOX1,pure_activator,3,False,False,"[0, 0, 0, 1]","[0, 1, 1, 1]"
